Incident energy;
Incident energy;
Incident energy;?(E)
9.302708;117.4014
9.31226;105.7872
9.321812;95.86079
9.331364;87.32482
9.340916;79.93689
9.350468;73.50057
9.369572;62.87827
9.388675;54.51876
9.406043;48.35527
9.42341;43.22744
9.440777;38.90661
9.458144;35.22579
9.475512;32.06013
9.492879;29.3152
9.510246;26.91758
9.527613;24.80984
9.562348;21.29027
9.597082;18.48634
9.631816;16.21569
9.66655;14.35126
9.708232;12.52304
9.749913;11.03462
9.791594;9.804071
9.833275;8.773633
9.874957;7.902399
9.916638;7.160046
9.958319;6.522907
10.0;5.972225
10.05387;5.364619
10.10774;4.851791
10.16161;4.415312
10.21547;4.041261
10.26934;3.718592
10.32321;3.4388
10.43094;2.982902
10.53868;2.635439
10.64641;2.365142
10.75415;2.157212
10.86188;2.003214
10.98501;1.887206
11.10813;1.834773
11.17354;1.837131
11.23895;1.866699
11.30436;1.929969
11.36977;2.037398
11.43518;2.206306
11.46789;2.322607
11.50059;2.467447
11.5333;2.649005
11.566;2.878304
11.59871;3.171202
11.63141;3.550559
11.65835;3.952463
11.68528;4.466189
11.71222;5.136726
11.72569;5.550728
11.73915;6.031364
11.75262;6.593393
11.76609;7.253614
11.77956;8.032638
11.79302;8.954075
11.80649;10.04733
11.81995;11.34198
11.83342;12.87312
11.84688;14.67149
11.86035;16.76947
11.87382;19.18798
11.88729;21.93641
11.90075;25.0033
11.92768;31.94132
11.95461;39.39051
11.97596;44.97457
11.99731;49.58152
12.01866;52.60094
12.02933;53.36873
12.04;53.59753
12.0575;52.79213
12.075;50.60461
12.0925;47.25172
12.11;43.04524
12.16419;28.32396
12.17774;24.94002
12.19129;21.84359
12.20484;19.06818
12.21838;16.625
12.23008;14.77313
12.24178;13.1475
12.25348;11.72977
12.26518;10.49915
12.27688;9.434049
12.28858;8.513406
12.30028;7.717483
12.31197;7.028926
12.32367;6.430727
12.33537;5.909764
12.34707;5.454271
12.35876;5.05461
12.38216;4.389021
12.40555;3.861899
12.42895;3.436783
12.45235;3.088653
12.47575;2.799521
12.49914;2.556448
12.52254;2.349627
12.54594;2.171985
12.59273;1.883748
12.63953;1.661163
12.68632;1.485309
12.73312;1.343617
12.77991;1.227617
12.84888;1.090965
12.91784;0.9836254
12.9868;0.897322
13.05576;0.8271132
13.12472;0.7699138
13.19368;0.7243491
13.26264;0.6911223
13.3316;0.6715033
13.371;0.6646629
13.4155;0.6562606
13.43775;0.6501815
13.5045;0.6199945
13.60808;0.5536224
13.65987;0.5249165
13.71166;0.5018165
13.81524;0.4669426
13.91882;0.4402373
14.12598;0.3984402
14.33313;0.3652299
14.54029;0.3380956
14.74744;0.3155712
15.16175;0.2799079
15.51454;0.2566022
15.86733;0.2381811
16.22012;0.2235588
16.57291;0.2120684
16.9257;0.2033118
17.27849;0.1970829
17.63128;0.1933396
17.98407;0.192203
18.48806;0.195834
18.74005;0.2002402
18.99204;0.2072598
19.24403;0.2163004
19.49602;0.2293487
19.74801;0.2471828
20.0;0.2713527
20.16807;0.2922443
20.33613;0.3182986
20.50419;0.3510451
20.67225;0.3927051
20.84032;0.446095
20.92435;0.4786973
21.00838;0.5165662
21.09241;0.5607327
21.17644;0.6125205
21.26047;0.6737302
21.3445;0.7467661
21.42854;0.8348747
21.51257;0.9424561
21.5966;1.07561
21.68063;1.242855
21.72265;1.343027
21.76466;1.457023
21.80668;1.587749
21.84869;1.738731
21.89071;1.914569
21.93272;2.120977
21.97474;2.365646
22.01675;2.658627
22.05877;3.013997
22.10079;3.451317
22.14281;3.999208
22.16382;4.327405
22.18482;4.701092
22.20583;5.130292
22.22684;5.62749
22.24785;6.209596
22.26885;6.899343
22.28986;7.729595
22.31087;8.745819
22.33188;10.0138
22.35288;11.62751
22.36405;12.6715
22.37521;13.87609
22.38637;15.27345
22.39753;16.90061
22.40869;18.80084
22.41985;21.02408
22.43101;23.62724
22.44217;26.67399
22.45333;30.23432
22.46449;34.38342
22.47565;39.19998
22.48681;44.76373
22.49797;51.1522
22.50913;58.43668
22.52029;66.67745
22.53145;75.91839
22.54393;87.46275
22.5564;100.2621
22.58135;129.3447
22.6063;161.8868
22.63124;195.5386
22.64174;209.2863
22.6705;242.8516
22.68488;256.094
22.69925;266.1453
22.71463;272.8479
22.73;275.0023
